jahr;datum;jahr_1;jahr_2;jahr_3;jahr_4;jahr_5;jahr_6;jahr_7;jahr_8;jahr_9;jahr_10;jahr_11;jahr_12;jahr_13;jahr_14;jahr_15;jahr_16;jahr_17;jahr_18;jahr_19;jahr_20;jahr_25;jahr_30;jahr_35;jahr_40;jahr_45;jahr_50
2015;2015-05;0.00067;0.00099;0.00167;0.00255;0.00327;0.00458;0.00571;0.00678;0.00764;0.00861;0.00941;0.01008;0.0106299999999999;0.0111;0.01151;0.0118;0.01206;0.01229;0.0125;0.01268;0.01296;0.01302;0.01307;0.0131;0.01278;0.01252
2016;2016-05;-0.0017599999999999;-0.00168;-0.00129;-0.00073;-0.0001099999999999;0.00085;0.00195;0.00313;0.00428;0.00538;0.00638;0.00722;0.008;0.00866;0.00924;0.0096499999999999;0.0100099999999999;0.0103299999999999;0.01062;0.01088;0.0112799999999999;0.0113199999999999;0.01119;0.01109;0.01068;0.01035
2017;2017-05;-0.00252;-0.00166;-0.00083;0.0004;0.0015;0.00278;0.00422;0.0054;0.00666;0.00796;0.00906;0.00998;0.01083;0.0115599999999999;0.0121999999999999;0.01268;0.0131;0.01348;0.01381;0.0141199999999999;0.0148;0.01504;0.01493;0.0148399999999999;0.01444;0.0141199999999999
2018;2018-05;-0.00248;-0.00136;-0.0001099999999999;0.00153;0.0030399999999999;0.00448;0.0058299999999999;0.00707;0.00811;0.00905;0.01011;0.01099;0.0117399999999999;0.01238;0.01294;0.0133499999999999;0.01372;0.01405;0.01435;0.01461;0.0151;0.01493;0.01493;0.01494;0.01463;0.0143799999999999
2019;2019-05;-0.00293;-0.00279;-0.00255;-0.00192;-0.001;-0.00021;0.00065;0.00145;0.0023699999999999;0.00339;0.00421;0.0049;0.00562;0.00624;0.00678;0.0072299999999999;0.00763;0.00799;0.0083;0.00859;0.00921;0.0093899999999999;0.00927;0.00918;0.00904;0.00893
2020;2020-12;-0.001356926484171697;-0.001216926484171697;-0.0009769264841716972;-0.0003469264841716971;0.0005730735158283029;0.001363073515828303;0.0022230735158283027;0.003023073515828303;0.003943073515828203;0.004963073515828303;0.005783073515828303;0.006473073515828303;0.007193073515828303;0.007813073515828302;0.008353073515828303;0.008803073515828203;0.009203073515828303;0.009563073515828304;0.009873073515828303;0.010163073515828304;0.010783073515828303;0.010963073515828203;0.010843073515828304;0.010753073515828304;0.010613073515828303;0.010503073515828304
