jahr;rl;avbg;name;wert
2021;guv; BG113_Risiko;VK_Stueck;539555.9211729595
2021;guv;999;VK_Stueck;648880.2742130167
2021;guv; BG111_Rente;bil_derue7_veraenderung;1411127.3616942433
2021;guv; BG113_Risiko;bil_derue7_veraenderung;1728073.4995573165
2021;guv;999;bil_derue7_veraenderung;3139200.8612515596
2021;guv;999;jahresueberschuss;8413117.858468723
2021;bilanz;999;eigenkapital_ende;4444381.877257481
2022;bilanz;999;eigenkapital_anfang;4444381.877257481
2022;bilanz;999;kasse_anfang;0.0
2022;bilanz; BG111_Rente;bil_derue1_anfang;2050915.3405552665
2022;bilanz; BG113_Risiko;bil_derue1_anfang;2599132.5786989424
2022;bilanz;999;bil_derue1_anfang;4650047.919254209
2022;bilanz; BG111_Rente;bil_derue2_anfang;2050915.3405552665
2022;bilanz; BG113_Risiko;bil_derue2_anfang;2599132.5786989424
2022;bilanz;999;bil_derue2_anfang;4650047.919254209
2022;bilanz; BG111_Rente;bil_derue3_anfang;2050915.3405552665
2022;bilanz; BG113_Risiko;bil_derue3_anfang;2599132.5786989424
2022;bilanz;999;bil_derue3_anfang;4650047.919254209
2022;bilanz; BG111_Rente;bil_derue5_anfang;2050915.3405552665
2022;bilanz; BG113_Risiko;bil_derue5_anfang;2599132.5786989424
2022;bilanz;999;bil_derue5_anfang;4650047.919254209
2022;bilanz; BG111_Rente;bil_derue7_anfang;2050915.3405552665
2022;bilanz; BG113_Risiko;bil_derue7_anfang;2599132.5786989424
2022;bilanz;999;bil_derue7_anfang;4650047.919254209
2022;bilanz; BG111_Rente;bil_derue1_ende;3018694.3861237196
2022;bilanz; BG113_Risiko;bil_derue1_ende;4496360.043992869
2022;bilanz;999;bil_derue1_ende;7515054.430116588
2022;bilanz; BG111_Rente;bil_derue2_ende;3018694.3861237196
2022;bilanz; BG113_Risiko;bil_derue2_ende;4496360.043992869
2022;bilanz;999;bil_derue2_ende;7515054.430116588
2022;bilanz; BG111_Rente;bil_derue3_ende;3018694.3861237196
2022;bilanz; BG113_Risiko;bil_derue3_ende;4496360.043992869
2022;bilanz;999;bil_derue3_ende;7515054.430116588
2022;bilanz; BG111_Rente;bil_derue5_ende;3018694.3861237196
2022;bilanz; BG113_Risiko;bil_derue5_ende;4496360.043992869
2022;bilanz;999;bil_derue5_ende;7515054.430116588
2022;bilanz; BG111_Rente;bil_derue7_ende;3018694.3861237196
2022;bilanz; BG113_Risiko;bil_derue7_ende;4496360.043992869
2022;bilanz;999;bil_derue7_ende;7515054.430116588
2022;bilanz; BG111_Rente;nachreservierung_ende;0.0
2022;bilanz; BG113_Risiko;nachreservierung_ende;0.0
2022;bilanz;999;nachreservierung_ende;0.0
2022;guv; BG111_Rente;bil_gebuchter_beitrag;3438814.333212262
2022;guv; BG113_Risiko;bil_gebuchter_beitrag;25839864.00746858
2022;guv;999;bil_gebuchter_beitrag;29278678.340680845
2022;guv; BG111_Rente;bil_verdienter_beitrag_nw216;3438814.333212262
2022;guv; BG113_Risiko;bil_verdienter_beitrag_nw216;25839864.00746858
2022;guv;999;bil_verdienter_beitrag_nw216;29278678.340680845
2022;guv; BG111_Rente;ap;100700.41833937651
2022;guv; BG113_Risiko;ap;4874781.410283721
2022;guv;999;ap;4975481.828623097
2022;guv; BG111_Rente;iAK;0.0
2022;guv; BG113_Risiko;iAK;0.0
2022;guv;999;iAK;0.0
2022;guv; BG111_Rente;VK_Stueck;182207.2550667621
2022;guv; BG113_Risiko;VK_Stueck;539555.9211729595
2022;guv;999;VK_Stueck;721763.1762397216
2022;guv; BG111_Rente;bil_derue7_veraenderung;967779.0455684531
2022;guv; BG113_Risiko;bil_derue7_veraenderung;1897227.4652939262
2022;guv;999;bil_derue7_veraenderung;2865006.5108623793
2022;guv;999;jahresueberschuss;20716426.824955646
2022;bilanz;999;eigenkapital_ende;25160808.702213127
